id,username,created_at,lng,lat,text
1533610152586317824,biggtwon,Mon Jun 06 00:42:08 +0000 2022,-87.942283,41.8897245,The @celtics were winning the entire 1st til .05 left 🤦🏿‍♂️🤦🏿‍♂️ #NBAFinals
1533610156742873088,timlyver,Mon Jun 06 00:42:09 +0000 2022,-96.7617535,32.819858499999995,@celtics wake the fuck and stop turning the basketball over JFC
1533610176871383047,Superfan_K,Mon Jun 06 00:42:13 +0000 2022,-86.1429225,39.7795625,When they turn the ball over they lose 🤷🏿‍♂️
1533610193501794306,GeneBrown35,Mon Jun 06 00:42:17 +0000 2022,-71.4440805,42.971199,Celtics 30 Refs 31… somebody wants Game 7 #NBAFinals  #Celtics
1533610200401313793,Young_____Simba,Mon Jun 06 00:42:19 +0000 2022,-83.1738665,32.6782075,Yeahhhhh Celtics are in trouble
1533610222178209792,MrStroMac,Mon Jun 06 00:42:24 +0000 2022,-76.540993,39.138486,"Seven turnovers and eight fouls against the Celtics, two each on Jaylen and Tatum… and the Warriors are only up one? Laughable 😂"
1533610264863592449,lamarr_douglas,Mon Jun 06 00:42:34 +0000 2022,-76.593943,24.074967,Felt like Celtics outperformed lol the Warriors that entire quarter yet somehow down 1.
1533610264888758274,CalleroAntony,Mon Jun 06 00:42:34 +0000 2022,-57.2205185,-32.0237665,Picadito el #Game2 de #NBAFinals Ganan los Warriors 31 a 30 ante los Celtics
1533610267082473476,HisMajestyJT,Mon Jun 06 00:42:35 +0000 2022,-84.433106,33.7671945,Celtics fell apart at the end of that first quarter
1533610270068703233,dovallepaulo,Mon Jun 06 00:42:36 +0000 2022,-46.5955455,-23.682803,Será que estamos prontos pra essa essa série final entre Golden State X Celtics?
1533610279371608064,FIVESTARINVEGAS,Mon Jun 06 00:42:38 +0000 2022,-115.3353435,36.120959,Warriors in trouble. I'm saying this with Celtics down 1 end of the 1st qtr
1533610301513400320,LeafaeK,Mon Jun 06 00:42:43 +0000 2022,-80.05726949999999,26.493595499999998,Tatum!!! 💚🏀💚 the real #MVP @celtics @NBA #NBAFinals2022
1533610306324373509,EWints,Mon Jun 06 00:42:44 +0000 2022,-71.7617435,42.189619500000006,Horrible finish for the Celtics in that quarter. Celtics dominated that quarter until they started turning the ball… https://t.co/DVNsKvzsh2
1533610337269850113,JoelSchwartzman,Mon Jun 06 00:42:52 +0000 2022,-43.187293499999996,-22.387124999999997,@artemisagauche Assistindo Warriors x Celtics?
1533610344274436097,PabloViruega,Mon Jun 06 00:42:53 +0000 2022,-72.87301,41.792641,#Celtics 30#Warriors 31 Fin 1 Q #NBAFinals
1533610372304969730,Blckjack9,Mon Jun 06 00:43:00 +0000 2022,-95.44648649999999,29.838495,NBA be quick to make a t shirt
1533610377832898560,theCEDproject,Mon Jun 06 00:43:01 +0000 2022,-118.4119065,34.0207895,Already this series is so good. Thought the C’s would have established a clear advantage in the first &amp; the… https://t.co/fVHUGf9sKd
1533610378113982465,RalphRangel_,Mon Jun 06 00:43:01 +0000 2022,-49.261299,-16.6427825,"Que porcaria é esse time do @celtics, o cara está na bandeja e deixa de fazer o ponto para passar errado e gerar ""t… https://t.co/U8OWFmB8er"
1533610419956457473,RTruszkowski,Mon Jun 06 00:43:11 +0000 2022,-91.58519050000001,41.6982765,@celtics @warriors THANK YOU!!🧡
1533610449098391552,Mt_lee23,Mon Jun 06 00:43:18 +0000 2022,-89.5694915,44.900818,How many more open threes are the Celtics gonna hand out tonight? If that’s not enough 7 &gt; 2 turnover differential.
1533610456312586240,Fd1193,Mon Jun 06 00:43:20 +0000 2022,-76.17692,42.599418,Looks like this Golden State Celtics game is going to be another shoot out.
1533610459844300800,dovallepaulo,Mon Jun 06 00:43:21 +0000 2022,-46.5955455,-23.682803,Será que estamos prontos pra essa série final entre Golden State X Celtics?
1533610460867710976,emmcruzzz,Mon Jun 06 00:43:21 +0000 2022,-96.621634,32.907642,Lol Elijah is me
1533610462641737728,JoeyCashMusic,Mon Jun 06 00:43:22 +0000 2022,-115.135165,36.0609645,LFG
1533610465384873984,iBeyyah,Mon Jun 06 00:43:22 +0000 2022,37.5435985,-1.14611,These turnovers will come to haunt  #Celtics #NBAFinals
1533610468597702656,robisonnk,Mon Jun 06 00:43:23 +0000 2022,-81.33066,35.7292895,I’d really appreciate it if we stopped just *giving* them the ball every other possession. #AllAbout18
1533610480136294403,TheHolyGhosted7,Mon Jun 06 00:43:26 +0000 2022,-73.183908,43.607299,@celtics Referees got into the game. Shake it off. Celtics can’t let off the throttle now!
1533610508682678273,SteveTu73357179,Mon Jun 06 00:43:33 +0000 2022,-80.22681349999999,40.522217,"@celtics STOP THE FING TURNOVERS, AHOLES!"
1533610521261330434,LGordonPoker,Mon Jun 06 00:43:36 +0000 2022,-122.99320800000001,38.505472,No Fing reason to wait until 4 mins to go in game 2 1st Qtr to respond to choking game 1 away as a gift to the Celt… https://t.co/Ly1dVVGwSr
1533610539951464448,HollywoodTyrone,Mon Jun 06 00:43:40 +0000 2022,-88.16155549999999,30.683649,This is a coloreds only series for the Celtics (Payton Pritchard in sperts)
1533610549405261825,sprinter4883,Mon Jun 06 00:43:42 +0000 2022,-71.43666999999999,41.6989405,It’s very clear that the @NBA and @NBAOfficial are favoring the Warriors. #Celtics have an up hill battle with the… https://t.co/KEyVREojuF
1533610555361067009,menmartey,Mon Jun 06 00:43:44 +0000 2022,-77.230881,38.916760999999994,Turnovers continue to be an issue for the Boston Celtics. With no traditional PG in their backcourt that knows how… https://t.co/IQ27Ha4XY7
1533610562923421699,J_Ben80,Mon Jun 06 00:43:45 +0000 2022,-84.612392,34.0110765,Celtics on track for another 30 turnover game. Is that something they purposely try to accomplish? I've never s… https://t.co/bzMG3NZ1F5
1533610563984662530,hughwpage,Mon Jun 06 00:43:46 +0000 2022,-80.2918455,27.165487,#CelticsVsWarriors Stop turning the ball over #Celtics and this series is yours.
1533610601691357184,Caitie211,Mon Jun 06 00:43:55 +0000 2022,-71.082308,42.58049,Ok well we have to stop throwing the ball awayLet’s start there Thank god that was only the 1st quarter but why… https://t.co/jkL0sRkKCv
1533610610310762497,kj_themick,Mon Jun 06 00:43:57 +0000 2022,-72.737393,41.850901,I might have to throw this out @ChipotleTweets @celtics @hen_ease @ColeyMick @stoolpresidente #NBAFinals https://t.co/U2sKmFkGhl
1533610618846158850,aliciak84379783,Mon Jun 06 00:43:59 +0000 2022,-77.27595299999999,18.1154075,"7 turnovers in a quarter guys @celtics, c'mon kick it up a notch. We're making some careless passes and picking up… https://t.co/kfbY3QoFqN"
1533610641881190400,taylorrchaves,Mon Jun 06 00:44:04 +0000 2022,-72.464218,41.832699500000004,LFGGGGGG CELTS!!!! ☘️☘️🤠💚 #Celtics #AllAbout18
1533610656523603968,mikeTbugguy,Mon Jun 06 00:44:08 +0000 2022,-71.683502,42.036939000000004,Gay
1533610716925546496,ThatsMyQuue,Mon Jun 06 00:44:22 +0000 2022,-115.223125,36.232915,Golden State is NOT playing. They on the Celtics ass 😆💯 #NBAFinals2022
1533610723372310534,charlosdeal,Mon Jun 06 00:44:24 +0000 2022,-51.294831,-23.206297499999998,@LedioLegal celtics
1533610745497370627,DeLaCaZa,Mon Jun 06 00:44:29 +0000 2022,-46.5955455,-23.682803,@celtics got their 🧹🧹🧹 already?
1533610805823950848,SteveTu73357179,Mon Jun 06 00:44:43 +0000 2022,-80.22681349999999,40.522217,@georgecoulouras @celtics That's right!
1533610889261117440,abellop86313281,Mon Jun 06 00:45:03 +0000 2022,-117.2483875,34.049751,The nba refs have to call these finals even this is soo annoying how they haven't called any fouls for the Celtics… https://t.co/50xVgBqybC
1533610925923737600,datdimplezchica,Mon Jun 06 00:45:12 +0000 2022,-77.27595299999999,18.1154075,Celtics &amp; these rass turnovers
1533610956432977920,atipriatanto17,Mon Jun 06 00:45:19 +0000 2022,106.808194,-6.3944565,Rela mesti bangun pagi-pagi gini
1533610977039638528,watjp315,Mon Jun 06 00:45:24 +0000 2022,-75.679089,44.0406045,@Money23Green is trying to control the narrative of the game and not allow the refs to let them play physical by in… https://t.co/t1aupQIChk
1533611033260183556,peterstringer,Mon Jun 06 00:45:38 +0000 2022,-82.7553405,27.9927105,Jaylen and Jayson doing it all for the #Celtics - refs doing it all for Golden State.
1533611037701832706,BrentSchwartzz,Mon Jun 06 00:45:39 +0000 2022,-71.312617,42.6931085,"If this keeps up, this series will certainly be tied by the end of the night. Can’t sink back into that lack-of-foc… https://t.co/MCJJ4CTH8q"
1533611080643186688,MSantos994,Mon Jun 06 00:45:49 +0000 2022,-43.430080000000004,-22.820062,Tenho pena de quem tá rivalizando comigo se o Celtics for campeão esse ano 🤭🤭
1533611118823739393,billherenda,Mon Jun 06 00:45:58 +0000 2022,-118.4119065,34.0207895,Q1 #Celtics 7 turnovers turned into 13 points by #Warriors https://t.co/Qu1YOtfTO2
1533611134279884800,Goins2Jacob,Mon Jun 06 00:46:02 +0000 2022,-85.4915405,32.597245,I said on “On the Line” on Friday on @ESPN1067 that turnovers would determine this #NBAFinals 7 TO for @celtics i… https://t.co/gDKKUWm363
1533611140038762496,CgrenonCole,Mon Jun 06 00:46:03 +0000 2022,-84.4703885,33.631277499999996,I can’t believe they single-handedly ended gun violence
1533611154567745536,JackJack_757,Mon Jun 06 00:46:07 +0000 2022,-86.1531435,41.674542,This ain’t looking good for my Celtics.
1533611199224594432,Alessan87534926,Mon Jun 06 00:46:17 +0000 2022,-71.5507035,42.3458205,"#NBAFinalsnaESPN  os pontos do @celtics é com uma frieza já contra é com um tesão que nunca vi , tem que narrar e s… https://t.co/Qax5bzpOnQ"
1533611206266716160,CeboLeKing,Mon Jun 06 00:46:19 +0000 2022,18.4890615,-34.1216575,This GSW team is no match for the Celtics. Sad really
1533611213325836290,mikewichter,Mon Jun 06 00:46:21 +0000 2022,-71.683502,42.036939000000004,Did these idiot refs just stop a celtics fast break to call a technical foul?
1533611226294636544,taynnagripp1,Mon Jun 06 00:46:24 +0000 2022,-46.5955455,-23.682803,Esse homem me faz torcer pelo Celtics. Que homem.
1533611248562094083,GradybabyMunk,Mon Jun 06 00:46:29 +0000 2022,-83.1738665,32.6782075,I understand why he does it against some teams. Form of intimidation. He realized that don’t work against the Celti… https://t.co/An1C7uXbIg
1533611274076045315,DaddyFiles,Mon Jun 06 00:46:35 +0000 2022,-71.4077465,42.078873,Jordan Poole with some straight up dirty play. #celtics #Warriors
1533611275963490305,MDubThaRuler,Mon Jun 06 00:46:35 +0000 2022,-71.2033415,41.742552,@NBA @NBAOfficial already starting their nonsense. To be clear with Tony Brothers and Zach Zarba as the refs that’s… https://t.co/3KEyXrytfN
